property_type,bhk,area,locality,city,price_in_crore,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,furnishing_type,facing,amenities_score,furnishing_score,study_room,servant_room,pooja_room
Flat,2,1456.0,Kondapur,Hyderabad,1.04,New,New Property,2,1291.61,17.0,1.0,Unfurnished,East,36,0,0,0,0
Flat,3,1677.0,Miyapur,Hyderabad,1.14,New,New Property,3,1487.66,7.0,1.0,Unfurnished,East,40,0,0,0,0
House,4,3600.0,Yapral,Hyderabad,2.25,New,New Property,5,3193.55,2.0,1.0,Unfurnished,West,0,0,0,0,0
Flat,3,1995.0,Lb Nagar,Hyderabad,1.9,New,New Property,3,1769.76,7.0,1.0,Unfurnished,East,64,0,0,0,0
House,4,2300.0,Beeramguda,Hyderabad,1.55,New,New Property,5,2040.32,2.0,1.0,Unfurnished,North,0,0,0,0,1
Flat,2,1145.0,Osman Nagar,Hyderabad,0.66,New,New Property,1,1015.73,2.0,2.0,Unfurnished,East,37,0,0,0,0
Flat,2,1000.0,Annajiguda,Hyderabad,0.42,New,New Property,2,887.1,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,5,6000.0,Harshaguda,Hyderabad,5.82,New,New Property,5,5322.58,2.0,1.0,Unfurnished,East,48,0,0,0,0
House,2,990.0,Katedan Industrial Area,Hyderabad,0.67,New,New Property,2,878.23,2.0,1.0,Unfurnished,East,0,0,0,0,0
Flat,3,1650.0,Kondapur,Hyderabad,1.13,New,New Property,3,1463.71,5.0,2.0,Unfurnished,North,17,0,0,0,0
Flat,3,2100.0,Kokapet,Hyderabad,1.57,New,New Property,3,1862.9,5.0,1.0,Unfurnished,East,42,0,0,0,0
Flat,2,1325.0,Kondapur,Hyderabad,1.45,Resale,Moderately New Property,2,1175.4,2.0,2.0,Unfurnished,East,47,0,0,0,0
Flat,2,1250.0,Kondapur,Hyderabad,0.86,New,New Property,2,1108.87,2.0,1.0,Unfurnished,East,32,6,0,0,0
House,3,1900.0,Nandigama,Hyderabad,0.74,New,New Property,3,1685.48,2.0,1.0,Unfurnished,East,0,0,0,0,1
